"latitude","longitude"
43.6611116,1.4307476
43.5698403,1.3084390
43.5549757,1.3667331
48.7587559,2.4041471
45.5011459,-73.5676200
45.5280237,-73.5162086
43.8077930,1.5690173
43.5832972,1.4340480
43.5737234,1.4852015
43.9840200,1.4242980
43.6064833,1.4448832
43.2111780,2.3698239
43.6774631,4.1348676
47.4739226,-0.5597187
45.6320631,5.1498063
45.6950689,4.9276722
48.9492767,2.2566788
43.5469411,1.4781572
43.5389258,1.5122833
43.6004210,1.2326766
43.9682434,1.3394138
43.9671522,1.3395637
43.2929372,5.3849288
45.3395414,4.4200829
43.2904069,5.3890127
43.6077342,3.8760500
48.8158910,2.3272665
45.7497854,4.8849995
43.6099734,3.8781744
44.1908617,1.2846101
44.1923172,1.3610342
44.2424111,1.4481707
43.0824219,1.6297918
43.8106435,1.5463335
43.5666318,1.4914627
43.5615057,1.4603174
43.5941905,1.4744318
43.6215484,1.4151361
43.9916595,1.3305693
43.6100644,1.4429593
43.7795949,1.6333455
43.6541509,1.3237732
43.2132935,2.3511932
44.5603547,2.2505809
44.0165357,1.3453151
48.8792867,2.3924341
48.8772528,2.3951023
48.8861903,2.3924657
48.8763581,2.3941812
48.8752363,2.3925197
48.8756501,2.3989620
48.8496704,2.4175045
48.7888677,2.3012037
48.9178636,2.4477717
48.8718361,2.3064687
43.9324053,4.8038963
44.8340956,-0.5755479
43.2691154,2.7198727
43.6009304,1.4268147
44.4695552,1.3614611
44.0397435,1.3869418
43.9943237,1.4241853
50.2829336,3.9673137
50.3363477,3.7375753
50.4454813,3.8462250
37.7937259,-122.3979866
43.3629268,-1.4037195
43.4408045,-1.4542452
43.4057565,-1.4648717
43.9571736,0.3752388
43.4936635,-1.5244178
43.4916937,-1.4771993
48.8279013,2.2442555
43.4909819,-1.4732523
48.2425129,-1.5612953
48.1111365,-1.6813823
48.2425502,-1.5621277
48.2319195,-1.6086752
48.1138390,-1.6230651
48.1824548,-1.6438186
48.1114224,-1.6814153
48.4756533,-2.0169602
47.7042202,-1.0299063
48.1077112,-1.6786167
48.6490172,-2.0243456
47.1488406,-1.1533900
47.1869118,0.1699652
49.3951911,2.0189783
47.8479197,3.8128017
50.8512304,4.3491060
50.8372531,4.3818203
48.0852939,-1.6040238
47.6529837,-2.0839336
48.8248698,2.3698077
43.9392230,1.3429220
43.7857536,1.4852430
43.6352778,1.4633333
44.0379611,1.3857891
43.5978555,1.4569077
44.0069299,1.3420218
43.6108484,1.4515930
45.1586850,1.5318955
43.5854500,1.3974715
43.5991980,1.2338530
44.0374933,1.3833037
43.2844465,3.5073533
46.1560958,-1.1642060
47.4707660,-0.5451530
43.2766380,3.4839122
43.7271926,1.4111098
43.8311541,1.3919151
43.7841234,1.4036933
43.7762525,1.4066821
43.6880886,1.4023419
43.7800738,1.4055986
43.7412853,1.3700492
43.7718943,1.2933407
43.7782059,1.4785536
43.7699399,1.2954680
43.6482309,1.3358588
43.8306073,1.3931136
43.8554077,1.4560825
44.0429696,1.3882817
44.0176529,1.3535562
44.0190399,1.3604691
44.0194562,1.3556487
